congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_tr,social_simple_tr,econ_and_social,,21
116,Senate,41705,41,0,AL,100,"JONES, Gordon Douglas (Doug)",SenDougJones,J000300,1954,-0.089,0.199,-55.29461,0.88627,458,23,-0.078,0.262,left,left,leftleft,FALSE,
116,Senate,94659,41,0,AL,200,"SHELBY, Richard C.",SenShelby,S000320,1934,0.428,0.515,-34.95693,0.92861,472,17,0.429,0.093,right,right,rightright,FALSE,
116,Senate,40300,81,0,AK,200,"MURKOWSKI, Lisa",lisamurkowski,M001153,1957,0.21,-0.291,-32.62963,0.92915,444,8,0.278,-0.432,right,left,rightleft,TRUE,
116,Senate,41500,81,0,AK,200,"SULLIVAN, Daniel Scott",SenDanSullivan,S001198,1964,0.48,0.072,-37.85845,0.92197,466,16,0.506,0.019,right,right,rightright,FALSE,
116,Senate,21300,61,0,AZ,100,"SINEMA, Kyrsten",RepSinema,S001191,1976,-0.102,0.058,-63.07191,0.86922,450,18,-0.058,0.188,left,left,leftleft,FALSE,
116,Senate,21501,61,0,AZ,200,"McSALLY, Martha",RepMcSally,M001197,1966,0.345,0.025,-30.92947,0.93618,469,12,0.346,0.246,right,right,rightright,FALSE,
116,Senate,20101,42,0,AR,200,"BOOZMAN, John",JohnBoozman,B001236,1950,0.4,0.248,-19.83398,0.95902,474,7,0.343,0.255,right,right,rightright,FALSE,
116,Senate,21301,42,0,AR,200,"COTTON, Tom",SenTomCotton,C001095,1977,0.576,0.107,-47.00756,0.90502,471,21,0.433,0.076,right,right,rightright,FALSE,
116,Senate,41701,71,0,CA,100,"HARRIS, Kamala Devi",SenKamalaHarris,H001075,1964,-0.702,-0.117,-18.7005,0.92474,239,9,-0.724,-0.238,left,left,leftleft,FALSE,
116,Senate,49300,71,0,CA,100,"FEINSTEIN, Dianne",SenFeinstein,F000062,1933,-0.268,-0.199,-57.71989,0.88535,474,16,-0.265,-0.096,left,left,leftleft,FALSE,
